"created","tp","pre","hum","amb"
2018-04-20 07:32:01,25.15,0,51.46,30.34
2018-04-20 07:32:12,25.19,0,51.48,30.34
2018-04-20 07:32:24,25.22,0,51.49,30.33
2018-04-20 07:32:35,25.15,0,51.49,30.33
2018-04-20 07:32:47,25.15,0,51.5,30.32
2018-04-20 07:32:58,25.15,0,51.53,30.32
2018-04-20 07:33:09,25.12,0,51.54,30.31
2018-04-20 07:33:21,25.12,0,51.57,30.31
2018-04-20 07:33:32,0,0,51.58,0
2018-04-20 07:33:33,25.09,0,0,30.31
2018-04-20 07:33:44,25.02,0,51.58,30.3
2018-04-20 07:33:55,0,0,51.59,30.29
2018-04-20 07:33:56,25.05,0,0,0
2018-04-20 07:34:07,25.05,0,51.62,30.29
2018-04-20 07:34:18,25.05,0,51.64,30.29
2018-04-20 07:34:29,0,0,51.65,0
2018-04-20 07:34:30,25.09,0,0,30.28
2018-04-20 07:34:41,25.09,0,51.66,30.27
2018-04-20 07:34:52,25.02,0,51.66,30.26
2018-04-20 07:35:03,25.05,0,51.68,30.26
2018-04-20 07:35:15,25.05,0,51.68,30.26
2018-04-20 07:35:26,25.02,0,51.7,30.25
2018-04-20 07:35:37,0,0,51.73,0
2018-04-20 07:35:38,25.05,0,0,30.24
2018-04-20 07:35:49,25.05,0,51.75,30.24
2018-04-20 07:36:00,25.09,0,51.76,30.24
2018-04-20 07:36:12,25.05,0,51.77,30.23
2018-04-20 07:36:23,25.05,0,51.79,30.22
2018-04-20 07:36:35,25.05,0,51.8,30.22
2018-04-20 07:36:46,25.02,0,51.82,30.21
2018-04-20 07:36:58,24.99,0,51.84,30.2
2018-04-20 07:37:09,25.05,0,51.85,30.2
2018-04-20 07:37:21,24.99,0,51.85,30.2
2018-04-20 07:37:32,24.99,0,51.88,30.19
2018-04-20 07:37:43,25.02,0,51.88,30.18
2018-04-20 07:37:55,24.99,0,51.89,30.17
2018-04-20 07:38:06,24.99,0,51.91,30.16
2018-04-20 07:38:18,25.02,0,51.91,30.16
2018-04-20 07:38:29,25.02,0,51.93,30.15
